T14,Gross value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",66.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",37.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",33.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",27.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",27.0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",28.1,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",35.0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,1995,Industry (% of gross value added),10.6,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2005,Industry (% of gross value added),21.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2010,Industry (% of gross value added),13.0,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2015,Industry (% of gross value added),10.8,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2019,Industry (% of gross value added),14.8,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2020,Industry (% of gross value added),14.7,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2021,Industry (% of gross value added),16.3,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,1995,Services (% of gross value added),23.0,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2005,Services (% of gross value added),41.4,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2010,Services (% of gross value added),53.8,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2015,Services (% of gross value added),61.9,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2019,Services (% of gross value added),58.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2020,Services (% of gross value added),57.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
4,Afghanistan,2021,Services (% of gross value added),48.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",54.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",21.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",20.7,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",22.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",21.0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",22.0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",20.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,1995,Industry (% of gross value added),26.5,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2005,Industry (% of gross value added),28.7,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2010,Industry (% of gross value added),28.7,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2015,Industry (% of gross value added),24.8,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2019,Industry (% of gross value added),23.6,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2020,Industry (% of gross value added),22.8,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2021,Industry (% of gross value added),25.0,"Data classified according to ISIC Rev. 4.;Excludes publishing activities, recycling. Includes irrigation canals.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,1995,Services (% of gross value added),19.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2005,Services (% of gross value added),49.8,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2010,Services (% of gross value added),50.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2015,Services (% of gross value added),52.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2019,Services (% of gross value added),55.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2020,Services (% of gross value added),55.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
8,Albania,2021,Services (% of gross value added),54.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",14.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,1995,Industry (% of gross value added),47.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2005,Industry (% of gross value added),59.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2010,Industry (% of gross value added),51.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2015,Industry (% of gross value added),37.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2019,Industry (% of gross value added),38.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2020,Industry (% of gross value added),34.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2021,Industry (% of gross value added),41.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,1995,Services (% of gross value added),41.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2005,Services (% of gross value added),32.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2010,Services (% of gross value added),40.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2015,Services (% of gross value added),50.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2019,Services (% of gross value added),48.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2020,Services (% of gross value added),51.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
12,Algeria,2021,Services (% of gross value added),46.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
20,Andorra,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
20,Andorra,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
20,Andorra,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
20,Andorra,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
20,Andorra,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
