T,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Grants of patents (number),"397,580",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
1,"Total, all countries or areas",1995,Grants of patents (number),"429,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
1,"Total, all countries or areas",2005,Grants of patents (number),"632,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
1,"Total, all countries or areas",2010,Grants of patents (number),"914,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
1,"Total, all countries or areas",2019,Grants of patents (number),"1,506,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
1,"Total, all countries or areas",2020,Grants of patents (number),"1,596,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
1,"Total, all countries or areas",2021,Grants of patents (number),"1,756,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
2,Africa,2005,Grants of patents (number),"4,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
2,Africa,2010,Grants of patents (number),"9,000",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
2,Africa,2019,Grants of patents (number),"10,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
2,Africa,2020,Grants of patents (number),"7,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
2,Africa,2021,Grants of patents (number),"10,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
419,Latin America & the Caribbean,2005,Grants of patents (number),"14,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
419,Latin America & the Caribbean,2010,Grants of patents (number),"17,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
419,Latin America & the Caribbean,2019,Grants of patents (number),"26,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
419,Latin America & the Caribbean,2020,Grants of patents (number),"36,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
419,Latin America & the Caribbean,2021,Grants of patents (number),"45,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
142,Asia,2005,Grants of patents (number),"288,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
142,Asia,2010,Grants of patents (number),"469,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
142,Asia,2019,Grants of patents (number),"834,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
142,Asia,2020,Grants of patents (number),"928,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
142,Asia,2021,Grants of patents (number),"1,122,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
150,Europe,2005,Grants of patents (number),"150,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
150,Europe,2010,Grants of patents (number),"160,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
150,Europe,2019,Grants of patents (number),"239,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
150,Europe,2020,Grants of patents (number),"231,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
150,Europe,2021,Grants of patents (number),"208,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
9,Oceania,2005,Grants of patents (number),"15,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
9,Oceania,2010,Grants of patents (number),"18,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
9,Oceania,2019,Grants of patents (number),"18,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
9,Oceania,2020,Grants of patents (number),"19,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
9,Oceania,2021,Grants of patents (number),"19,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2021,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2005,Grants of patents (number),395,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2010,Grants of patents (number),349,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2019,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2020,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2021,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2010,Patents in force (number),349,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2019,Patents in force (number),"6,017",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2020,Patents in force (number),"5,833",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
8,Albania,2021,Patents in force (number),"6,519",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2005,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2019,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2020,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2021,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,1995,Grants of patents (number),118,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2005,Grants of patents (number),443,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2010,Grants of patents (number),"1,076",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2019,Grants of patents (number),140,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2020,Grants of patents (number),421,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2021,Grants of patents (number),770,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2005,Patents in force (number),498,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2019,Patents in force (number),"4,496",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2020,Patents in force (number),"4,319",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
12,Algeria,2021,Patents in force (number),"4,646",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
20,Andorra,2019,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
20,Andorra,2020,Grants of patents (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
20,Andorra,2021,Grants of patents (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
20,Andorra,2019,Patents in force (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
20,Andorra,2020,Patents in force (number),33,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
20,Andorra,2021,Patents in force (number),39,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
24,Angola,2020,Grants of patents (number),33,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
24,Angola,2021,Grants of patents (number),49,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
24,Angola,2020,Patents in force (number),85,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
24,Angola,2021,Patents in force (number),86,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,1995,Resident patent filings (per million population),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2005,Resident patent filings (per million population),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2010,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
