Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Teachers at primary level,"26,920,685",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2005,Teachers at lower secondary level,"16,659,222",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2005,Teachers at upper secondary level,"11,831,218",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2010,Teachers at primary level,"28,681,559",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2010,Teachers at lower secondary level,"17,821,205",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2010,Teachers at upper secondary level,"14,342,572",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2015,Teachers at primary level,"31,312,238",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2015,Teachers with minimum required qualifications at primary level,85.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2015,Teachers at lower secondary level,"18,875,596",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2015,Teachers at upper secondary level,"14,704,107",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2020,Teachers at primary level,"33,050,131",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2020,Teachers with minimum required qualifications at primary level,86.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2020,Teachers at lower secondary level,"20,835,682",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2020,Teachers with minimum required qualifications at lower secondary level,83.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2020,Teachers at upper secondary level,"16,731,426",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
1,"Total, all countries or areas",2020,Teachers with minimum required qualifications at upper secondary level,85.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
15,Northern Africa,2005,Teachers at primary level,"944,313",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
